City,Date,Avg
南投市,2023/08/30,193.25
南投市,2023/08/31,174.875
南投市,2023/09/01,194.0
南投市,2023/09/02,153.04166666666666
南投市,2023/09/03,156.5
南投市,2023/09/04,198.66666666666666
南投市,2023/09/05,187.20833333333334
南投市,2023/09/06,170.375
南投市,2023/09/07,155.54166666666666
南投市,2023/09/08,111.08333333333333
南投市,2023/09/09,105.375
南投市,2023/09/10,118.33333333333333
南投市,2023/09/11,132.625
南投市,2023/09/12,127.66666666666667
南投市,2023/09/13,128.625
南投市,2023/09/14,167.6086956521739
南投市,2023/09/15,172.91666666666666
南投市,2023/09/16,148.75
南投市,2023/09/17,99.41666666666667
南投市,2023/09/18,173.91666666666666
南投市,2023/09/19,166.20833333333334
南投市,2023/09/20,165.125
南投市,2023/09/21,136.29166666666666
南投市,2023/09/22,200.29166666666666
南投市,2023/09/23,187.20833333333334
南投市,2023/09/24,194.04166666666666
南投市,2023/09/25,205.79166666666666
南投市,2023/09/26,174.08333333333334
南投市,2023/09/27,202.66666666666666
南投市,2023/09/28,200.58333333333334
南投市,2023/09/29,164.08333333333334
南投市,2023/09/30,140.25
南投市,2023/10/01,177.875
南投市,2023/10/02,194.25
南投市,2023/10/03,152.125
南投市,2023/10/04,245.79166666666666
南投市,2023/10/05,272.9583333333333
南投市,2023/10/06,165.5
南投市,2023/10/07,189.70833333333334
南投市,2023/10/08,133.0
南投市,2023/10/09,170.625
南投市,2023/10/10,130.75
南投市,2023/10/11,85.16666666666667
南投市,2023/10/12,107.875
南投市,2023/10/13,126.375
南投市,2023/10/14,119.875
南投市,2023/10/15,139.16666666666666
南投市,2023/10/16,79.91666666666667
南投市,2023/10/17,123.0
南投市,2023/10/18,183.625
南投市,2023/10/19,190.625
南投市,2023/10/20,243.875
南投市,2023/10/21,165.25
南投市,2023/10/22,111.54166666666667
南投市,2023/10/23,152.2608695652174
南投市,2023/10/24,134.125
南投市,2023/10/25,179.91666666666666
南投市,2023/10/26,184.0
南投市,2023/10/27,185.29166666666666
南投市,2023/10/28,161.16666666666666
南投市,2023/10/29,155.25
南投市,2023/10/30,127.45833333333333
南投市,2023/10/31,173.29166666666666
南投市,2023/11/01,168.20833333333334
南投市,2023/11/02,178.95833333333334
南投市,2023/11/03,167.70833333333334
南投市,2023/11/04,194.95833333333334
南投市,2023/11/05,163.375
南投市,2023/11/06,163.75
南投市,2023/11/07,128.33333333333334
南投市,2023/11/08,161.95833333333334
南投市,2023/11/09,173.41666666666666
南投市,2023/11/10,171.79166666666666
南投市,2023/11/11,110.41666666666667
南投市,2023/11/12,227.5
南投市,2023/11/13,268.5833333333333
南投市,2023/11/14,107.95833333333333
南投市,2023/11/15,162.58333333333334
南投市,2023/11/16,230.54166666666666
南投市,2023/11/17,221.95833333333334
南投市,2023/11/18,148.43478260869566
南投市,2023/11/19,158.75
南投市,2023/11/20,162.25
南投市,2023/11/21,206.91666666666666
南投市,2023/11/22,212.0
南投市,2023/11/23,203.375
南投市,2023/11/24,199.66666666666666
南投市,2023/11/25,179.33333333333334
南投市,2023/11/26,175.20833333333334
南投市,2023/11/27,151.83333333333334
南投市,2023/11/28,150.25
南投市,2023/11/29,187.29166666666666
南投市,2023/11/30,179.58333333333334
南投市,2023/12/01,208.79166666666666
南投市,2023/12/02,183.58333333333334
南投市,2023/12/03,153.75
南投市,2023/12/04,204.125
南投市,2023/12/05,171.41666666666666
南投市,2023/12/06,136.25
南投市,2023/12/07,141.66666666666666
南投市,2023/12/08,167.95833333333334
南投市,2023/12/09,195.75
南投市,2023/12/10,219.625
南投市,2023/12/11,171.125
南投市,2023/12/12,154.5
南投市,2023/12/13,164.66666666666666
南投市,2023/12/14,128.16666666666666
南投市,2023/12/15,149.04166666666666
南投市,2023/12/16,252.25
南投市,2023/12/17,215.5
南投市,2023/12/18,145.95833333333334
南投市,2023/12/19,236.625
南投市,2023/12/20,338.375
南投市,2023/12/21,313.0833333333333
南投市,2023/12/22,204.375
南投市,2023/12/23,157.375
南投市,2023/12/24,202.16666666666666
南投市,2023/12/25,183.91666666666666
南投市,2023/12/26,158.625
南投市,2023/12/27,187.66666666666666
南投市,2023/12/28,241.66666666666666
南投市,2023/12/29,128.70833333333334
南投市,2023/12/30,144.08333333333334
南投市,2023/12/31,201.75
南投縣,2023/01/01,221.35416666666666
南投縣,2023/01/02,195.0
南投縣,2023/01/03,172.875
南投縣,2023/01/04,227.54166666666669
南投縣,2023/01/05,173.16666666666666
南投縣,2023/01/06,220.27083333333334
南投縣,2023/01/07,239.625
南投縣,2023/01/08,247.33333333333331
南投縣,2023/01/09,223.54166666666669
南投縣,2023/01/10,223.0625
南投縣,2023/01/11,228.35416666666666
南投縣,2023/01/12,232.60416666666666
南投縣,2023/01/13,221.75378787878788
南投縣,2023/01/14,226.16666666666666
南投縣,2023/01/15,211.85416666666669
南投縣,2023/01/16,230.16666666666669
南投縣,2023/01/17,214.04166666666666
南投縣,2023/01/18,188.77083333333334
南投縣,2023/01/19,197.08333333333331
南投縣,2023/01/20,223.35416666666666
南投縣,2023/01/21,212.8125
南投縣,2023/01/22,228.79166666666669
南投縣,2023/01/23,227.70833333333331
南投縣,2023/01/24,162.91666666666666
南投縣,2023/01/25,237.3125
南投縣,2023/01/26,219.72916666666669
南投縣,2023/01/27,196.45833333333331
南投縣,2023/01/28,202.1875
南投縣,2023/01/29,220.75
南投縣,2023/01/30,228.54166666666666
南投縣,2023/01/31,227.66666666666669
南投縣,2023/02/01,218.29166666666669
南投縣,2023/02/02,208.58333333333334
南投縣,2023/02/03,218.75
南投縣,2023/02/04,232.89583333333331
南投縣,2023/02/05,241.375
南投縣,2023/02/06,203.41666666666666
南投縣,2023/02/07,251.54166666666666
南投縣,2023/02/08,211.60416666666666
南投縣,2023/02/09,239.1875
南投縣,2023/02/10,203.1875
南投縣,2023/02/11,238.0
南投縣,2023/02/12,251.83333333333331
南投縣,2023/02/13,247.04166666666669
南投縣,2023/02/14,229.97916666666666
南投縣,2023/02/15,193.35416666666666
南投縣,2023/02/16,240.0
南投縣,2023/02/17,211.8125
南投縣,2023/02/18,236.97916666666669
南投縣,2023/02/19,224.04166666666669
南投縣,2023/02/20,232.625
南投縣,2023/02/21,196.35416666666669
南投縣,2023/02/22,205.8125
南投縣,2023/02/23,209.04166666666669
南投縣,2023/02/24,209.22916666666666
南投縣,2023/02/25,203.5
南投縣,2023/02/26,182.29166666666669
南投縣,2023/02/27,222.97916666666669
南投縣,2023/02/28,251.08333333333331
南投縣,2023/03/01,226.95833333333331
南投縣,2023/03/02,226.45833333333331
南投縣,2023/03/03,242.8125
南投縣,2023/03/04,240.33333333333331
南投縣,2023/03/05,230.02083333333331
南投縣,2023/03/06,223.30492424242425
南投縣,2023/03/07,231.54166666666669
南投縣,2023/03/08,231.29166666666666
南投縣,2023/03/09,213.60416666666669
南投縣,2023/03/10,210.64764492753625
南投縣,2023/03/11,235.22916666666669
南投縣,2023/03/12,208.95833333333331
